product_id,title,product_url,price_current,price_old,currency,on_sale,in_stock,category,collection,image_url
31564,ФУТБОЛКА / UNDEAD HU$$$TLER,https://nikifilinistore.ru/product/futbolka-undead-hutler/,4194.0,6990.0,RUB,True,True,Футболки,,
31760,ШОРТЫ / NERD$CLUB,https://nikifilinistore.ru/product/shorty-nerdclub/,6594.0,10990.0,RUB,True,True,Другое,,
31748,ШТАНЫ / NERD$CLUB,https://nikifilinistore.ru/product/shtany-nerdclub/,8154.0,13590.0,RUB,True,True,Другое,,
31380,ЗИП ХУДИ / HAO,https://nikifilinistore.ru/product/zip-hudi-hao/,9174.0,15290.0,RUB,True,False,Худи,,
31402,ЛОНГСЛИВ / HAO,https://nikifilinistore.ru/product/longsliv-hao/,4194.0,6990.0,RUB,True,True,Лонгсливы,,
34887,LONGSLEEVE / DREAM TEAM,https://nikifilinistore.ru/product/longsleeve-dream-team/,3810.0,6350.0,RUB,True,True,Лонгсливы,,
38623,LONGSLEEVE / MOON,https://nikifilinistore.ru/product/longsleeve-moon/,3810.0,6350.0,RUB,True,True,Лонгсливы,,
35038,ЛОНГСЛИВ / AHEGAO GOD,https://nikifilinistore.ru/product/longsliv-ahegao-god/,3534.0,5890.0,RUB,True,True,Лонгсливы,,
35048,ЛОНГСЛИВ / AHEGAO GOD BLC,https://nikifilinistore.ru/product/longsliv-ahegao-god-blk/,3354.0,5590.0,RUB,True,True,Лонгсливы,,
34877,ЛОНГСЛИВ / ANBU NINJA,https://nikifilinistore.ru/product/longsliv-anbu-ninja/,3414.0,5690.0,RUB,True,True,Лонгсливы,,
35058,ЛОНГСЛИВ / ORIGAMI BLK,https://nikifilinistore.ru/product/longsliv-origami-blk/,3534.0,5890.0,RUB,True,True,Лонгсливы,,
35107,ЛОНГСЛИВ / ORIGAMI WHT,https://nikifilinistore.ru/product/longsliv-origami-wht/,3534.0,5890.0,RUB,True,True,Лонгсливы,,
34867,ЛОНГСЛИВ / DARK SHINOBI / OROCHIMARU,https://nikifilinistore.ru/product/longsliv-dark-shinobi-orochimaru/,3810.0,6350.0,RUB,True,True,Лонгсливы,,
34857,ЛОНГСЛИВ / DARK SHINOBI PROTOTYPE,https://nikifilinistore.ru/product/longsliv-dark-shinobi-prototype/,3810.0,6350.0,RUB,True,True,Лонгсливы,,
34927,ЛОНГСЛИВ / DARK SIDE VOL.2,https://nikifilinistore.ru/product/longsliv-dark-side-vol-2/,3810.0,6350.0,RUB,True,True,Лонгсливы,,
34937,ЛОНГСЛИВ / DARK SUPREME,https://nikifilinistore.ru/product/longsliv-dark-supreme/,4194.0,6990.0,RUB,True,True,Лонгсливы,,
34258,ЛОНГСЛИВ / ELEMENTAL WARRIOR,https://nikifilinistore.ru/product/longsliv-elemental-warrior/,3534.0,5890.0,RUB,True,True,Лонгсливы,,
31423,ЛОНГСЛИВ / FIRE,https://nikifilinistore.ru/product/longsliv-fire/,3534.0,5890.0,RUB,True,True,Лонгсливы,,
34817,ЛОНГСЛИВ / GAARA,https://nikifilinistore.ru/product/longsliv-gaara/,3810.0,6350.0,RUB,True,True,Лонгсливы,,
34847,ЛОНГСЛИВ / KONOHA,https://nikifilinistore.ru/product/longsliv-konoha/,3060.0,5100.0,RUB,True,True,Лонгсливы,,
34907,ЛОНГСЛИВ / MADARA VOL. 2,https://nikifilinistore.ru/product/longsliv-madara-vol-2/,3810.0,6350.0,RUB,True,True,Лонгсливы,,
34837,ЛОНГСЛИВ / PAIN AKATSUKI,https://nikifilinistore.ru/product/longsliv-pain-akatsuki/,3060.0,5100.0,RUB,True,True,Лонгсливы,,
34897,ЛОНГСЛИВ / SAGE MOON,https://nikifilinistore.ru/product/longsliv-sage-moon/,3810.0,6350.0,RUB,True,True,Лонгсливы,,
34807,ЛОНГСЛИВ / SHUKAKU,https://nikifilinistore.ru/product/longsliv-shukaku/,2906.0,4844.0,RUB,True,True,Лонгсливы,,
34947,ЛОНГСЛИВ / SUSANO’O DARK SUPREME,https://nikifilinistore.ru/product/longsliv-susanoo-dark-supreme/,3810.0,6350.0,RUB,True,True,Лонгсливы,,
34917,ЛОНГСЛИВ / THE LOSS,https://nikifilinistore.ru/product/longsliv-the-loss/,3810.0,6350.0,RUB,True,True,Лонгсливы,,
34827,ЛОНГСЛИВ / YAHIKO,https://nikifilinistore.ru/product/longsliv-yahiko/,3060.0,5100.0,RUB,True,True,Лонгсливы,,
31443,ФУТБОЛКА / ELEMENTAL,https://nikifilinistore.ru/product/futbolka-elemental/,2490.0,4150.0,RUB,True,True,Футболки,,
31421,ФУТБОЛКА / IMPEROR,https://nikifilinistore.ru/product/futbolka-imperor/,2490.0,4150.0,RUB,True,True,Футболки,,
34325,ЛОНГСЛИВ / GEDO MAZO,https://nikifilinistore.ru/product/longsliv-gedo-mazo/,3810.0,6350.0,RUB,True,True,Лонгсливы,,
