mentor_id,slug,profile_url,name,title,company,city,timezone,price,currency,reviews_count,sessions_count,categories,skills
17925,,,Мансур Дукузов,Agile coach,Mars,Москва,Europe/Moscow,9478,rub,0,13,,"Управление командой, Управление продуктом, Управление проектами, Kanban, Scrum, Прохождение собеседований, Agile, Управление знаниями в команде, Jira, User Story, Карьера: Поиск работы, Коучинг, Notion, SMART Цели, Trello, Miro, Развитие soft skills, People management, Масштабирование команды, Delivery managment, Карьерное консультирование, Управление организационными изменениями"
7428,zhanna_3,https://solvery.io/ru/mentor/zhanna_3,Жанна Азизова,Data Analytics Manager (ex Group Product Manager в VK),Bolt,Лисабон,Europe/London,9478,rub,0,19,,"Data Science, Управление командой, Управление продуктом, PostgreSQL, Python, SQL, Аналитика, ClickHouse, Looker, Tableau, Юнит-экономика, Growth hacking, Продуктовые метрики, Продуктовая стратегия, AdTech, FoodTech, Тестирование продуктовых гипотез"
5546,ekaterina_fadeeva,https://solvery.io/ru/mentor/ekaterina_fadeeva,Екатерина  Фадеева,Специалист по работе с блогерами,Kupibilet.ru,Москва,Europe/Moscow,9478,rub,0,5,,"Управление командой, Маркетинг, Управление проектами, Развитие карьеры, Маркетинг: стратегия, Маркетинг: инфлюенс, PR, Стартапы: продвижение, Стартапы: запуск, HealthTech, Маркетинг: исследования"
22283,doboyancev,https://solvery.io/ru/mentor/doboyancev,Дмитрий Обоянцев,CPO of B2B,Ук альфа капитал,Москва,Europe/Moscow,10000,rub,0,4,,"Управление командой, Управление продуктом, Управление проектами, Scrum, Прохождение собеседований, Мотивация команды, A/B testing, Agile, Яндекс Метрика, Управление проектным офисом, Управление организационными изменениями, Распределённая команда, Управление знаниями в команде, HR: подбор и адаптация, HR: мотивация сотрудников, HR: обучение и развитие, HR: формирование команд, CPO, Jira, Развитие карьеры, Юнит-экономика, Customer experience, Финансовое моделирование, Growth hacking, Продуктовые метрики, Продуктовая стратегия, Публичные выступления, Confluence, User Story, Тестирование продуктовых гипотез, Карьера: Поиск работы, Карьера: Составление резюме, Waterfall, SWOT, SMART Цели, Trello, Miro, UX: интервью, опросы, анкетирование, People management, Найм команды, Переговоры, Бизнес-процессы, Фасилитация, Клиентский Сервис, power BI, Бирюзовые организации, Спиральная динамика, Теория голубого океана, Жесткие переговоры, Карьерное консультирование, Трекшен проектов/стартапов"
3240,,,Александр Бобриков,Lead Product Manager,ВКонтакте,Санкт-Петербург,Europe/Moscow,10207,rub,0,5,,"Управление командой, Управление продуктом, Управление проектами, MVP, Продуктовая аналитика, Scrum, Мотивация команды, Agile, HR: формирование команд, Развитие карьеры, Продуктовые метрики, Продуктовая стратегия, Стартапы: продвижение, Стартапы: запуск, Стартапы: трекинг, Стартапы: инвестиции"
2537,vladimir_antonov,https://solvery.io/ru/mentor/vladimir_antonov,Владимир Антонов,Head of Product (Unit Lead),Авито,Москва,Europe/Moscow,10207,rub,1,15,,"Управление продуктом, Управление проектами, Продуктовая аналитика, Customer Journey Map, Scrum, Прохождение собеседований, A/B testing, Agile, Управление проектным офисом, Управление портфелем проектов, CPO, Развитие карьеры, Юнит-экономика, Customer experience, Продуктовые метрики, Продуктовая стратегия"
131,olegross,https://solvery.io/ru/mentor/olegross,Олег Бледнов,Руководитель направления,It компания ,Сочи,Europe/Moscow,10207,rub,0,5,,"Управление командой, Управление продуктом, UX, JTBD, Userflow, MVP, Продуктовая аналитика, Процессы разработки и тестирования, Архитектура процессов, Мотивация команды, Publishing Apps, A/B testing, Управление организационными изменениями, Распределённая команда, Управление знаниями в команде, Jira, Юнит-экономика, Финансовое моделирование, Продуктовые метрики, Продуктовая стратегия, Стартапы: трекинг, Lean, User Story, Коучинг: целеполагание, Стратегическое планирование, SWOT, SMART Цели, People management, Организационная структура, Бизнес-процессы, Тайм-менеджмент, Эффективность организации, Стратегическое управление, Google Tagmanager, Использование ИИ"
28000,mishacool,https://solvery.io/ru/mentor/mishacool,Михаил Бабушкин,iOS Engineer,Revolut,Порту,Europe/London,10207,rub,0,1,,"Мобильная разработка, iOS, Swift, SwiftUI, iOS SDK, XCUITest"
9374,ivolodin,https://solvery.io/ru/mentor/ivolodin,Игорь Володин,"Продуктовый стратег, ментор и коуч",,Нью-Йорк,America/New_York,10207,rub,0,0,,"Управление командой, Управление продуктом, Управление проектами, MVP, Продуктовая аналитика, Прохождение собеседований, Мотивация команды, Customer development, Продуктовая стратегия, Тестирование продуктовых гипотез, Коучинг: целеполагание, Стратегическое планирование, SMART Цели, Стратегическое управление"
23576,,,Мария Шляпникова,Руководитель направления CRM-маркетинга & CDP,E-promo,Москва,Europe/Moscow,10207,rub,0,10,,"Бизнес аналитика, Маркетинг, Управление проектами, Маркетинг: стратегия, CRM Маркетинг, Аналитика данных"
22100,chillcoding,https://solvery.io/ru/mentor/chillcoding,Никита Трофимов,Tech Lead Frontend,Тинькофф,Краснодар,Europe/Moscow,10207,rub,2,164,,"Бэкенд, Управление командой, Фронтенд, HTML, CSS, JavaScript, React, TypeScript, Python, Git, REST API, Интерфейсы, CD, CI, Vue.js, Flask, Процессы разработки и тестирования, Прохождение собеседований, ESLint, Unit Tests, Карьера: Поиск работы, Карьера: Составление резюме, OKR"
10651,alarnir,https://solvery.io/ru/mentor/alarnir,Алена Бондарчук,"COO, Бизнес-консультант",OperStratix,Москва,Europe/Moscow,10207,rub,0,7,,"Управление командой, Управление продуктом, Управление проектами, Прохождение собеседований, Управление проектным офисом, Управление портфелем проектов, Управление организационными изменениями, Распределённая команда, Управление знаниями в команде, CEO, Управление требованиями, Управление документацией, Развитие карьеры, Продуктовая стратегия, Стартапы: запуск, Стартапы: трекинг, BPMN, IT риски, Непрерывность бизнеса (ОНиВД), Управление ИТ, HealthTech, Маркетинг: анализ конкурентов, Маркетинг: оценка рынка, Карьера: Составление резюме, Стратегическое планирование, Waterfall, SWOT, SMART Цели, People management, Организационная структура, Бизнес-процессы, Децентрализованные организации, Эффективность организации, Качество продуктов и услуг, Стратегическое управление, Фасилитация, Масштабирование команды, Менеджмент Стейкхолдеров, OKR, настройка процессов в команде, ClickUp, Модерация"
8904,chvadim,https://solvery.io/ru/mentor/chvadim,Вадим Чистяков,"Senior Software engineer, iOS",ASOS,Лондон,Europe/London,10207,rub,5,66,,"Мобильная разработка, Управление командой, Управление проектами, Функциональное программирование, Network, Mobile first, UI kit, Software Engineering, Процессы разработки и тестирования, Прохождение собеседований, Gitflow, Паттерны проектирования, iOS, Swift, Xcode, Software Architecture, Управление знаниями в команде, Websockets, Jira, Развитие карьеры, Confluence, IT аудит, Карьера: Поиск работы, Карьера: Составление резюме, Карьера: Linkedin, Карьера: Релокейт, Коучинг, Найм команды"
8310,gr0m,https://solvery.io/ru/mentor/gr0m,Игорь Васильев,C++ Unreal Engine разработчик,,Казань,Europe/Moscow,10207,rub,0,51,,"Разработка игр, C++, REST API, VR, Unreal Engine"
7038,dmt_gorbatov,https://solvery.io/ru/mentor/dmt_gorbatov,Дмитрий Горбатов,Аналитик,Gazprombank,Москва,Europe/Moscow,10207,rub,0,31,,"Бизнес аналитика, Системная аналитика, Прохождение собеседований, Аналитика, Управление требованиями, Jira, Развитие карьеры, BPMN, Confluence, User Story"
5634,olepo,https://solvery.io/ru/mentor/olepo,Ольга Пономарева,Старший системный аналитик,Райффайзенбанк,Москва,Asia/Yekaterinburg,10207,rub,2,18,,"Управление продуктом, Бизнес аналитика, Системная аналитика, Базы данных, Userflow, SQL, Customer Journey Map, UML диаграммы, Управление требованиями, Проектирование интеграций, Системное проектирование, Управление документацией, BPMN, UML, User Story"
1281,qa_advisor,https://solvery.io/ru/mentor/qa_advisor,Евгений Данилов,Head of QA,Overgear,Любляна,Europe/Belgrade,10217,rub,0,0,,"Тестирование, Управление командой, Управление проектами, Тест-кейсы, Процессы разработки и тестирования, Прохождение собеседований, Архитектура процессов, Функциональное тестирование, Freelance, Управление организационными изменениями, Распределённая команда, Управление знаниями в команде"
3465,stolets,https://solvery.io/ru/mentor/stolets,Дмитрий Столец,Основатель и CEO,Aiway llp,Алматы,Asia/Omsk,10219,rub,0,7,,"Мобильная разработка, Управление продуктом, Маркетинг, Flutter, Dart, ASO"
28649,,,Александр Зайцев,Head of Business Development,Aviasales,Барселона,Europe/Madrid,10219,rub,0,0,,"Управление командой, Управление проектами, Развитие карьеры, Продажи, B2B-продажи, Бизнес-процессы, Клиентский Сервис, KPI и OKR, Партнерский маркетинг, Коммерческое предложение, Сегментация клиентов, Построение отдела продаж"
5904,andrei_morozov,https://solvery.io/ru/mentor/andrei_morozov,Андрей Морозов,Продюсер,,Москва,Europe/Moscow,10219,rub,1,23,,"Управление командой, Управление продуктом, Маркетинг, Процессы разработки и тестирования, Управление проектным офисом, Управление организационными изменениями, Продуктовые метрики, Управление ИТ, Маркетинг: исследования, Бизнес-процессы, Стратегическое управление, Масштабирование команды, OKR, Маркетинговые исследования, Исследование и сегментация ЦА, Стратегический маркетинг, Запуск стартапов"
